#EEP,M/Mo,LogTeff,LogG,LogL/Lo,U,B,V,R,I,J,H,Ks,Kp,D51
3,0.183713,3.5045,5.0076,-2.2977,15.5653,14.1666,12.6136,11.5013,10.0329,8.5805,8.0513,7.8027,11.446,13.2296
4,0.269621,3.5148,4.8816,-1.9141,14.2496,12.9793,11.4919,10.4285,9.0384,7.6467,7.1143,6.8704,10.4048,12.0763
5,0.401732,3.5436,4.8484,-1.5506,12.7171,11.5787,10.1973,9.2471,8.0397,6.8085,6.2526,6.0321,9.2941,10.7522
6,0.484953,3.5508,4.8461,-1.4679,12.4632,11.2979,9.9311,8.9988,7.8222,6.6219,6.0473,5.834,9.0537,10.4908
7,0.373568,3.5353,4.9225,-1.8079,13.6847,12.4246,10.9899,9.9961,8.718,7.433,6.872,6.647,10.0129,11.5736
8,0.349301,3.5319,4.9383,-1.8733,13.9142,12.6399,11.1924,10.1858,8.8892,7.5877,7.0311,6.8033,10.1957,11.7795
9,0.345428,3.5319,4.9397,-1.8828,13.9476,12.6711,11.2212,10.2132,8.9139,7.6099,7.0532,6.8252,10.2224,11.8088
10,0.347718,3.5318,4.9361,-1.8756,13.9243,12.649,11.2007,10.1938,8.8955,7.5929,7.036,6.8084,10.2037,11.7878
11,0.353701,3.5328,4.9297,-1.8584,13.8678,12.5953,11.1504,10.1459,8.8511,7.5514,6.9932,6.7665,10.1563,11.7365
12,0.364811,3.5343,4.9184,-1.8278,13.7666,12.4993,11.0594,10.0598,8.7723,7.4784,6.9181,6.6924,10.0729,11.6445
13,0.385213,3.5369,4.9003,-1.7736,13.5817,12.3238,10.8948,9.9033,8.6304,7.3491,6.784,6.5597,9.9216,11.4762
14,0.685231,3.5869,4.6606,-0.9988,10.8964,9.7275,8.4457,7.603,6.5994,5.5458,4.8979,4.7015,7.7137,9.0098
15,0.725887,3.5968,4.6262,-0.8884,10.5111,9.3369,8.0724,7.2539,6.3038,5.3003,4.635,4.4431,7.3836,8.6433
