#,dist(asec)identifier,typcoord1(ICRS,",J2000/2000)",plx,radvel,redshift,cz,,MagU,MagB,MagV,MagR,MagG,MagI,spec.type,,#bib#,not
1,1.35NGC3532,OpC166.4170-58.7070,,2.0659,4.85,0.000016,4.85,,,,,,,,,,302,0
2,26.53[CLH2011b]189228,*166.4057327453000,-58.70197266,0.1716,22.53,0.000075,22.53,,,17.547,16.081,15.2,15.444907,14.354,,,1,0
3,35.132MASSJ11054297-5841576,*166.4290738276300,-58.69933895,2.1036,6.12,0.00002,6.12,,,16.186,14.993,14.283,14.585714,13.691,,,6,0
4,35.31[CLH2011b]188095,*166.4124780595500,-58.69710337,0.2188,-25.99,-0.000087,-25.99,,,17.226,15.845,15.024,15.269454,14.208,,,1,0
5,43.832MASSJ11054308-5841473,*166.4294980463000,-58.69647826,1.4508,-8.42,-0.000028,-8.42,,,19.608,18.087,17.077,17.222319,15.937,,,1,0
6,47.592MASSJ11053711-5841421,*166.4046541199700,-58.69501441,2.0267,30.41,0.000101,30.41,,,18.74,17.285,16.328,16.546272,15.272,,,1,0
7,53.87[CLH2011b]182740,*166.4453775412300,-58.70791621,0.1875,1.34,0.000004,1.34,,,15.95,14.909,14.216,14.459774,13.511,,,1,0
8,57.85Cl*NGC3532FERN20,*166.4383709927800,-58.71811843,0.6638,,,,,,,,,13.001637,,,,1,0
9,58.85VPHASJ110547.2-584241.8,WD*166.44667-58.711,61,,,,,,,19.713,19.581,19.639,,19.615,DA,,1,0
10,60.472MASSJ11053725-5843206,*166.4052014716900,-58.72237472,2.0119,39.53,0.000132,39.53,,,15.9,14.988,14.457,14.750276,13.997,,,1,0
11,68.052MASSJ11054186-5843305,*166.4244532724900,-58.72513226,2.0839,,,,,,,,,15.102797,,,,5,0
12,69.182MASSJ11054167-5841161,*166.4236295389000,-58.68779249,0.5869,81.18,0.000271,81.19,,,15.977,14.893,14.257,14.534253,13.639,,,1,0
13,71.82[CLH2011b]188466,*166.4102445448500,-58.72633702,0.2769,-6.34,-0.000021,-6.34,,,17.792,16.327,15.463,15.750988,14.641,,,1,0
14,72.67[CLH2011b]188377,*166.4107928844600,-58.72662215,0.1615,-6.19,-0.000021,-6.19,,,17.545,16.071,15.202,15.448456,14.373,,,1,0
15,74.76CPD-583080,*166.4561162166000,-58.70330671,2.0528,,,,,,9.639,9.555,9.481,9.557597,9.437,A1V,,15,0
16,75.042MASSJ11054348-5843339,*166.4311890563100,-58.72610037,1.8083,,,,,,,,,18.043497,,,,1,0
17,75.122MASSJ11054562-5843251,*166.4400798467300,-58.72362587,2.0612,,,,,,,,,14.142386,,,,5,0
18,79.50Cl*NGC3532FERN24,*166.4492710620700,-58.69249624,0.3507,-1.32,-0.000004,-1.32,,,,,,12.424124,,,,1,0
19,85.73[S2000d]NGC353219,X166.4625-58.7061,,,,,,,,,,,,,,,1,0
20,88.12Cl*NGC3532FERN26,*166.3847524595600,-58.68865888,2.0701,6.77,0.000023,6.77,,,13.044,12.527,12.202,12.415195,11.922,,,7,0
21,89.18HD96387,*166.4191591411600,-58.73140501,2.0808,,,,,,8.724,8.658,8.565,8.677775,8.531,A1V,,21,0
22,90.58[CLH2011b]179510,*166.4649861657000,-58.70844133,0.7331,38.52,0.000128,38.52,,,15.255,14.253,13.602,13.856427,13.019,,,1,0
23,98.332MASSJ11053586-5840512,*166.3994383325000,-58.68086174,2.0575,,,,,,,,,13.806339,,,,5,0
24,99.38Cl*NGC3532FERN124,*166.4241666883100,-58.67933837,0.5135,3.78,0.000013,3.78,,,14.144,13.461,13.013,13.257006,12.573,,,2,0
25,101.72[FRP2000]30,*166.4678440579300,-58.71625674,2.0703,,,,,,,,,17.292547,,,,5,0
26,102.16V*GVCar,EB*166.3870313697000,-58.73051115,2.1127,,,,,,8.919,8.91,8.802,8.913376,8.811,A0,,46,0
27,112.17Cl*NGC3532FERN25,*166.4491370132700,-58.68047264,2.0125,5.66,0.000019,5.66,,,,,,12.693057,,,,6,0
28,112.37CPD-583074,*166.4315400240400,-58.73691023,0.4902,,,,,,11.36,,,11.194762,,,,2,0
29,113.26CPD-583068,*166.3966397661600,-58.67697563,2.1017,4.692,0.000016,4.69,,10.97,10.779,10.542,10.396,10.513902,10.273,,,13,0
30,113.40CPD-583077,*166.4401066154800,-58.67761618,2.1162,3.66,0.000012,3.66,,,9.13,8.189,7.671,7.932798,7.182,G6III,,22,0
31,113.902MASSJ11054269-5840320,*166.4278468169700,-58.67556674,2.0268,6.59,0.000022,6.59,,,14.513,13.769,13.384,13.559972,12.981,,,5,0
32,115.14Cl*NGC3532FERN28,*166.3704969732000,-58.72783551,0.503,,,,,,,,,13.158436,,,,2,0
33,122.72CPD-583081,*166.4621772354800,-58.7312349,2.0649,,,,,,9.306,9.222,9.165,9.241294,9.141,A1V,,19,0
34,129.21[CLH2011b]176007,*166.4857474815300,-58.70581903,0.5885,268.02,0.000894,268.14,,,15.091,14.189,13.606,13.863573,13.027,,,1,0
35,131.412MASSJ11052702-5841001,*166.3626151218500,-58.68335156,2.0223,,,,,,,,,16.734602,,,,5,0
36,138.722MASSJ11052243-5842013,*166.3434928731200,-58.70034586,2.1771,,,,,,,,,14.760468,,,,2,0
37,139.13CPD-583087,*166.4858998176700,-58.69252662,2.0849,,,,,,9.329,9.257,9.218,9.260557,9.178,,,15,0
38,139.172MASSJ11053375-5840136,*166.3906130298100,-58.67045581,0.3338,30.27,0.000101,30.27,,,17.574,16.25,15.514,15.787974,14.787,,,1,0
39,139.67Cl*NGC3532FERN23,*166.4775-58.6842,,,,,,,,,,,,,,,1,0
40,144.80[CLH2011b]197957,*166.3518224773500,-58.6846975,0.1281,10.98,0.000037,10.98,,,18.091,16.515,15.599,15.836904,14.71,,,1,0
41,145.012MASSJ11053976-5839590,*166.4157007958700,-58.66638969,1.9272,4.54,0.000015,4.54,,,19.337,17.822,16.748,16.860075,15.464,,,1,0
42,145.182MASSJ11055865-5842235,*166.4943045425500,-58.70652222,2.3161,,,,,,,,,18.857206,,,,1,0
43,145.43Cl*NGC3532FERN29,*166.3454460259500,-58.72291516,2.0833,,,,,,14.134,13.44,13.037,13.2812,12.687,,,8,0
44,145.52Cl*NGC3532FERN121,*166.4562004420300,-58.67185449,2.3496,6.11,0.00002,6.11,,,13.009,12.459,12.125,12.327864,11.779,,,3,0
45,145.782MASSJ11055508-5840579,*166.4794863192146,-58.6827002,2.49,,,,,,,,,15.2927,,,,1,0
46,148.772MASSJ11052360-5843400,*166.3483143040700,-58.72783292,1.9201,3.23,0.000011,3.23,,,16.923,15.694,14.947,15.246738,14.257,,,4,0
47,151.792MASSJ11052472-5843583,*166.3530366773300,-58.73286212,2.0778,4.33,0.000014,4.33,,,14.485,13.753,13.32,13.58013,12.951,,,5,0
48,155.192MASSJ11052144-5843204,*166.3393398147900,-58.7223416,2.1167,,,,,,,,,13.590514,,,,4,0
49,156.972MASSJ11054122-5845006,*166.4218030062200,-58.75018669,2.0951,,,,,,,,,14.799347,,,,4,0
50,159.642MASSJ11055096-5840092,*166.4623715292200,-58.66921923,2.1551,3.86,0.000013,3.86,,,20.613,19.122,17.986,18.038429,16.646,,,1,0
51,159.93HD96445,*166.4947406731500,-58.7248296,2.1549,4.03,0.000013,4.03,,,8.677,7.702,7.2,7.485672,6.747,G6II-III,,27,0
52,160.00Cl*NGC3532FERN130,*166.3793394557200,-58.66668025,0.2799,-6.65,-0.000022,-6.65,,,,,,11.669519,,,,1,0
53,160.342MASSJ11060053-5842353,*166.5022046721200,-58.70981208,2.0947,7.11,0.000024,7.11,,,17.511,16.215,15.426,15.725542,14.738,,,5,0
54,160.91Cl*NGC3532FERN123,*166.4223649305200,-58.6620665,0.3069,2.06,0.000007,2.06,,,,,,12.616363,,,,1,0
55,161.25CPD-583085,*166.4780788684200,-58.67523541,2.0554,82.64,0.000276,82.65,,,9.149,9.107,9.106,9.118314,9.075,,,16,0
56,161.59Cl*NGC3532FERN15,*166.4600867502500,-58.74548232,2.094,4.25,0.000014,4.25,,,13.209,12.654,12.306,12.545407,12.018,,,6,0
57,163.26[CLH2011b]187633,*166.4152194446300,-58.75201057,0.1567,-11.74,-0.000039,-11.74,,,17.909,16.349,15.449,15.703659,14.602,,,1,0
58,169.18[CLH2011b]201414,*166.3301841778400,-58.69288715,0.1048,3,0.00001,3,,,17.892,16.438,15.533,15.794633,14.695,,,1,0
59,170.98CPD-574238,*166.4145229966700,-58.65918608,0.4856,,,,,,10.554,10.456,10.363,10.41579,10.257,,,6,0
